file_id,directinversion+masactrl|structure_distance,directinversion+masactrl|psnr_unedit_part,directinversion+masactrl|lpips_unedit_part,directinversion+masactrl|mse_unedit_part,directinversion+masactrl|ssim_unedit_part,directinversion+masactrl|clip_similarity_source_image,directinversion+masactrl|clip_similarity_target_image
314000000005,0.007542809,24.639328002929688,0.0545724555850029,0.003436109283939004,0.8047718405723572,26.670372009277344,23.84895896911621
314000000006,0.044371832,18.116445541381836,0.11250216513872147,0.01542962808161974,0.4076417088508606,26.685333251953125,27.51934814453125
314000000007,0.01297335,19.33405876159668,0.10631586611270905,0.011657193303108215,0.5815479159355164,22.875253677368164,23.120296478271484
314000000008,0.053822443,22.817110061645508,0.0905403271317482,0.005227440502494574,0.7472331523895264,30.271507263183594,23.032201766967773
314000000009,0.025582217,16.279916763305664,0.13268525898456573,0.023550942540168762,0.5218806266784668,33.234806060791016,29.54617691040039
321000000000,0.04053929,21.13518524169922,0.20180116593837738,0.007699834182858467,0.8562430143356323,28.825992584228516,22.32065200805664
321000000001,0.01807635,22.252002716064453,0.09544625878334045,0.005953876301646233,0.8550314903259277,25.31357192993164,19.005929946899414
321000000002,0.020504735,21.10190773010254,0.03141133114695549,0.007759063038975,0.9179126620292664,28.56386947631836,28.17268943786621
321000000003,0.02280258,19.314098358154297,0.15106917917728424,0.011710896156728268,0.7808917760848999,27.07175064086914,24.205965042114258
321000000004,0.022616599,19.158510208129883,0.1863822191953659,0.012138047255575657,0.49923139810562134,29.287878036499023,26.01766014099121
321000000005,0.039838295,26.512407302856445,0.057841427624225616,0.002232333878055215,0.8454703688621521,26.69908905029297,20.692094802856445
321000000006,0.03132465,24.108278274536133,0.0680897980928421,0.003883042372763157,0.8572033047676086,26.57220458984375,18.298460006713867
321000000007,0.039871186,17.862369537353516,0.1800817996263504,0.0163592342287302,0.5630702376365662,30.77128791809082,21.618059158325195
321000000008,0.024016362,18.31505012512207,0.12564106285572052,0.014739911071956158,0.4852849841117859,27.71233367919922,26.078723907470703
321000000009,0.009596634,26.723278045654297,0.10147977620363235,0.0021265323739498854,0.8556054830551147,25.400230407714844,23.896530151367188
322000000000,0.009767927,22.886005401611328,0.10604573041200638,0.005145166534930468,0.8279591798782349,20.729320526123047,24.680694580078125
322000000001,0.008752364,22.96967124938965,0.07993203401565552,0.005046993959695101,0.842684805393219,24.407901763916016,20.736083984375
322000000002,0.03666938,18.72706413269043,0.19523212313652039,0.013405825011432171,0.6565213799476624,26.68242073059082,26.200040817260742
322000000003,0.008192078,25.469945907592773,0.09906546026468277,0.0028379529248923063,0.8524705767631531,25.04769515991211,23.338655471801758
322000000004,0.03215628,18.9376163482666,0.15545356273651123,0.012771393172442913,0.7341038584709167,18.588388442993164,15.756636619567871
322000000005,0.0089227,23.43916893005371,0.06718220561742783,0.004529841244220734,0.8552924990653992,25.643657684326172,25.2680606842041
322000000006,0.029583182,19.86570930480957,0.11159014701843262,0.010314044542610645,0.877578854560852,26.285850524902344,14.973735809326172
322000000007,0.068431914,15.971128463745117,0.17674142122268677,0.02528640814125538,0.6015998125076294,24.12787437438965,24.688100814819336
322000000008,0.02008533,18.4708194732666,0.1391887068748474,0.01422059815376997,0.7110176682472229,27.423751831054688,26.573392868041992
322000000009,0.017927418,23.502439498901367,0.08602534234523773,0.004464325960725546,0.8604873418807983,29.177566528320312,28.033607482910156
323000000000,0.028567677,23.155437469482422,0.11119858175516129,0.004835665691643953,0.7017054557800293,24.119606018066406,24.50384521484375
323000000001,0.052899558,17.52764129638672,0.22501850128173828,0.017669973894953728,0.6939473748207092,31.299745559692383,27.485694885253906
323000000002,0.016058758,19.089771270751953,0.11737055331468582,0.012331693433225155,0.7593257427215576,24.035900115966797,24.2182559967041
323000000003,0.025312865,23.841716766357422,0.0766114816069603,0.004128840286284685,0.936947762966156,26.689926147460938,20.71939468383789
323000000004,0.08399375,24.879623413085938,0.033824238926172256,0.0032511537428945303,0.9262325167655945,24.2377986907959,21.4193172454834
323000000005,0.007099393,22.726110458374023,0.052443742752075195,0.005338124930858612,0.8201761245727539,25.024869918823242,25.939104080200195
323000000006,0.00829226,22.098102569580078,0.05196015536785126,0.006168642546981573,0.9259213209152222,31.890329360961914,23.854341506958008
323000000007,0.029784912,20.89100456237793,0.12196845561265945,0.008145156316459179,0.7182300090789795,22.8050479888916,23.3302001953125
323000000008,0.014223967,21.142778396606445,0.09503843635320663,0.007686386350542307,0.7709163427352905,27.960500717163086,23.287885665893555
323000000009,0.011268987,20.05617904663086,0.08802202343940735,0.009871479123830795,0.8352624773979187,30.470216751098633,25.762706756591797
324000000000,0.05608398,18.815641403198242,0.13673314452171326,0.013135172426700592,0.7430322766304016,29.483158111572266,22.84989356994629
324000000001,0.028151168,21.58645248413086,0.12031552195549011,0.006939922925084829,0.7629605531692505,26.12508201599121,25.886505126953125
324000000002,0.007366239,26.246658325195312,0.04510713741183281,0.0023731987457722425,0.8619484305381775,30.034021377563477,18.595436096191406
324000000003,0.027330901,24.628826141357422,0.10513374209403992,0.0034444283228367567,0.7856586575508118,31.76259994506836,25.552114486694336
324000000004,0.0038088688,23.96864128112793,0.07012952864170074,0.004009919706732035,0.8042272329330444,27.053361892700195,19.020357131958008
324000000005,0.0070415493,24.074708938598633,0.06907274574041367,0.0039131720550358295,0.8174028396606445,29.445743560791016,30.827251434326172
324000000006,0.015725672,21.52226448059082,0.07733875513076782,0.0070432573556900024,0.8377317190170288,28.12881088256836,24.19019317626953
324000000007,0.017136134,22.853620529174805,0.05008327215909958,0.00518367625772953,0.9004780054092407,24.108518600463867,26.110198974609375
324000000008,0.033692397,20.959156036376953,0.10122738033533096,0.008018337190151215,0.5620669722557068,27.490314483642578,21.95361328125
324000000009,0.02316364,18.39730453491211,0.11187110841274261,0.014463375322520733,0.4496905207633972,22.162900924682617,24.02301025390625
411000000000,0.0028175958,21.063709259033203,0.09376201033592224,0.007827606983482838,0.8856126070022583,30.818021774291992,30.40155792236328
411000000001,0.01947424,22.362871170043945,0.08617086708545685,0.005803804844617844,0.8589573502540588,28.07193374633789,27.69401741027832
411000000002,0.016008664,20.65919303894043,0.048849284648895264,0.008591732010245323,0.9272101521492004,24.13947105407715,23.51315689086914
411000000003,0.030630356,nan,nan,nan,nan,26.57126235961914,26.15203285217285
