file_id,1_ddim+p2p|structure_distance,1_ddim+p2p|psnr_unedit_part,1_ddim+p2p|lpips_unedit_part,1_ddim+p2p|mse_unedit_part,1_ddim+p2p|ssim_unedit_part,1_ddim+p2p|clip_similarity_source_image,1_ddim+p2p|clip_similarity_target_image,1_ddim+p2p|clip_similarity_target_image_edit_part
000000000000,0.005724375,33.25783157348633,0.012970797717571259,0.0004722985904663801,0.9308745861053467,24.254079818725586,24.558828353881836,23.855804443359375
000000000001,0.0058477446,27.256511688232422,0.04795507714152336,0.0018808267777785659,0.8707607388496399,24.352760314941406,25.973833084106445,28.075721740722656
000000000002,0.010743025,30.456764221191406,0.025632765144109726,0.000900167680811137,0.9460182189941406,27.53310775756836,27.100021362304688,21.016666412353516
000000000003,0.019604431,27.41756248474121,0.028583576902747154,0.0018123561749234796,0.8597049117088318,28.134750366210938,28.346633911132812,30.012475967407227
000000000004,0.02840287,32.397769927978516,0.024318717420101166,0.0005757353501394391,0.940615713596344,27.585744857788086,31.94117546081543,31.667327880859375
000000000005,0.0057222685,35.481475830078125,0.019424889236688614,0.00028304284205660224,0.9610885977745056,27.55791473388672,20.38350486755371,15.736442565917969
000000000006,0.0047644344,37.159969329833984,0.01725109852850437,0.00019231042824685574,0.9625874161720276,24.083881378173828,32.98969268798828,27.240758895874023
000000000007,0.0025740662,26.401275634765625,0.06944919377565384,0.0022901941556483507,0.7100632190704346,27.818614959716797,26.194869995117188,23.13898277282715
000000000008,0.0014353151,31.061464309692383,0.043597955256700516,0.000783165218308568,0.8959605097770691,29.649139404296875,23.85236358642578,9.845477104187012
000000000009,0.021827746,40.65230178833008,0.01417231373488903,8.605376933701336e-05,0.9944571256637573,26.778470993041992,26.06264877319336,25.58281707763672
000000000010,0.01813783,24.702774047851562,0.08355844020843506,0.0033862770069390535,0.8167064189910889,34.05667495727539,31.881546020507812,21.055688858032227
000000000011,0.007985379,33.05940246582031,0.06734667718410492,0.0004943784442730248,0.9370864033699036,23.193965911865234,27.51055335998535,26.322715759277344
000000000012,0.015312198,29.78046417236328,0.012480530887842178,0.0010518493363633752,0.9684153199195862,27.203556060791016,24.5941162109375,26.807397842407227
000000000013,0.01771205,21.46006965637207,0.09219241142272949,0.007144847419112921,0.8479393124580383,20.339035034179688,20.227035522460938,21.890066146850586
000000000014,0.0017457709,38.356468200683594,0.033235616981983185,0.0001460001221857965,0.9664658308029175,19.275192260742188,19.132587432861328,19.63914680480957
000000000015,0.011874074,35.06147003173828,0.021978268399834633,0.00031178336939774454,0.9587478637695312,20.643091201782227,21.86566925048828,26.589048385620117
000000000016,0.005884689,26.558134078979492,0.038694873452186584,0.0022089527919888496,0.9094508290290833,20.585269927978516,22.844907760620117,26.258956909179688
000000000017,0.0036886337,nan,nan,nan,nan,19.271745681762695,19.53371238708496,19.53371238708496
000000000018,0.0039497903,29.549861907958984,0.03531050682067871,0.0011092094937339425,0.9060773849487305,26.482141494750977,22.687498092651367,19.036304473876953
000000000019,0.040492088,24.33530616760254,0.05804785341024399,0.0036852688062936068,0.7855073809623718,28.511247634887695,25.678098678588867,22.353145599365234
